"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_C","6:4","raw_age_year","Male Only","final","1yr",0.0378320296865757
"Method_A","7:3","raw_age_year","Male Only","final","1yr",0.0394080723916591
"Method_B","7:3","raw_age_year","Male Only","final","1yr",0.0394080723916591
"Method_C","7:3","raw_age_year","Male Only","final","1yr",0.0394080723916591
"Method_A","8:2","raw_age_year","Male Only","final","1yr",0.0361167542182882
"Method_B","8:2","raw_age_year","Male Only","final","1yr",0.0361167542182882
"Method_C","8:2","raw_age_year","Male Only","final","1yr",0.0361167542182882
"Method_A","1:2","age_cat_compas","Male Only","final","1yr",0.0370253058173627
"Method_B","1:2","age_cat_compas","Male Only","final","1yr",0.0370253058173627
"Method_C","1:2","age_cat_compas","Male Only","final","1yr",0.0370253058173627
"Method_A","6:4","age_cat_compas","Male Only","final","1yr",0.0378320296865757
"Method_B","6:4","age_cat_compas","Male Only","final","1yr",0.0378320296865757
"Method_C","6:4","age_cat_compas","Male Only","final","1yr",0.0378320296865757
"Method_A","7:3","age_cat_compas","Male Only","final","1yr",0.0394080723916591
"Method_B","7:3","age_cat_compas","Male Only","final","1yr",0.0394080723916591
"Method_C","7:3","age_cat_compas","Male Only","final","1yr",0.0394080723916591
"Method_A","8:2","age_cat_compas","Male Only","final","1yr",0.0361167542182882
"Method_B","8:2","age_cat_compas","Male Only","final","1yr",0.0361167542182882
"Method_C","8:2","age_cat_compas","Male Only","final","1yr",0.0361167542182882
"Method_A","1:2","age_cat_nij","Male Only","final","1yr",0.0370253058173627
"Method_B","1:2","age_cat_nij","Male Only","final","1yr",0.0370253058173627
"Method_C","1:2","age_cat_nij","Male Only","final","1yr",0.0370253058173627
"Method_A","6:4","age_cat_nij","Male Only","final","1yr",0.0378320296865757
"Method_B","6:4","age_cat_nij","Male Only","final","1yr",0.0378320296865757
"Method_C","6:4","age_cat_nij","Male Only","final","1yr",0.0378320296865757
"Method_A","7:3","age_cat_nij","Male Only","final","1yr",0.0394080723916591
"Method_B","7:3","age_cat_nij","Male Only","final","1yr",0.0394080723916591
"Method_C","7:3","age_cat_nij","Male Only","final","1yr",0.0394080723916591
"Method_A","8:2","age_cat_nij","Male Only","final","1yr",0.0361167542182882
"Method_B","8:2","age_cat_nij","Male Only","final","1yr",0.0361167542182882
"Method_C","8:2","age_cat_nij","Male Only","final","1yr",0.0361167542182882
"Method_A","1:2","raw_age_year","Female Only","final","1yr",0.0130265957830498
"Method_B","1:2","raw_age_year","Female Only","final","1yr",0.0130265957830498
"Method_C","1:2","raw_age_year","Female Only","final","1yr",0.0130265957830498
"Method_A","6:4","raw_age_year","Female Only","final","1yr",0
"Method_B","6:4","raw_age_year","Female Only","final","1yr",0
"Method_C","6:4","raw_age_year","Female Only","final","1yr",0
"Method_A","7:3","raw_age_year","Female Only","final","1yr",0.000185816110584436
"Method_B","7:3","raw_age_year","Female Only","final","1yr",0.000185816110584436
"Method_C","7:3","raw_age_year","Female Only","final","1yr",0.000185816110584436
"Method_A","8:2","raw_age_year","Female Only","final","1yr",0.000213833683242015
"Method_B","8:2","raw_age_year","Female Only","final","1yr",0.000213833683242015
"Method_C","8:2","raw_age_year","Female Only","final","1yr",0.000213833683242015
"Method_A","1:2","age_cat_compas","Female Only","final","1yr",0.0130265957830498
"Method_B","1:2","age_cat_compas","Female Only","final","1yr",0.0130265957830498
"Method_C","1:2","age_cat_compas","Female Only","final","1yr",0.0130265957830498
"Method_A","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_B","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_C","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_A","7:3","age_cat_compas","Female Only","final","1yr",0.000185816110584436
"Method_B","7:3","age_cat_compas","Female Only","final","1yr",0.000185816110584436
"Method_C","7:3","age_cat_compas","Female Only","final","1yr",0.000185816110584436
"Method_A","8:2","age_cat_compas","Female Only","final","1yr",0.000213833683242015
"Method_B","8:2","age_cat_compas","Female Only","final","1yr",0.000213833683242015
"Method_C","8:2","age_cat_compas","Female Only","final","1yr",0.000213833683242015
"Method_A","1:2","age_cat_nij","Female Only","final","1yr",0.0130265957830498
"Method_B","1:2","age_cat_nij","Female Only","final","1yr",0.0130265957830498
"Method_C","1:2","age_cat_nij","Female Only","final","1yr",0.0130265957830498
"Method_A","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_B","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_C","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_A","7:3","age_cat_nij","Female Only","final","1yr",0.000185816110584436
"Method_B","7:3","age_cat_nij","Female Only","final","1yr",0.000185816110584436
"Method_C","7:3","age_cat_nij","Female Only","final","1yr",0.000185816110584436
"Method_A","8:2","age_cat_nij","Female Only","final","1yr",0.000213833683242015
"Method_B","8:2","age_cat_nij","Female Only","final","1yr",0.000213833683242015
"Method_C","8:2","age_cat_nij","Female Only","final","1yr",0.000213833683242015
"Method_A","1:2","raw_age_year","Weighting","final","1yr",0.0183124868465316
"Method_B","1:2","raw_age_year","Weighting","final","1yr",0.0183124868465316
"Method_C","1:2","raw_age_year","Weighting","final","1yr",0.0183124868465316
"Method_A","6:4","raw_age_year","Weighting","final","1yr",0.0108277289853749
"Method_B","6:4","raw_age_year","Weighting","final","1yr",0.0108277289853749
"Method_C","6:4","raw_age_year","Weighting","final","1yr",0.0108277289853749
"Method_A","7:3","raw_age_year","Weighting","final","1yr",0.0142255668745415
"Method_B","7:3","raw_age_year","Weighting","final","1yr",0.0142255668745415
"Method_C","7:3","raw_age_year","Weighting","final","1yr",0.0142255668745415
"Method_A","8:2","raw_age_year","Weighting","final","1yr",0.0152966221257549
"Method_B","8:2","raw_age_year","Weighting","final","1yr",0.0152966221257549
"Method_C","8:2","raw_age_year","Weighting","final","1yr",0.0152966221257549
"Method_A","1:2","age_cat_compas","Weighting","final","1yr",0.0183124868465316
"Method_B","1:2","age_cat_compas","Weighting","final","1yr",0.0183124868465316
"Method_C","1:2","age_cat_compas","Weighting","final","1yr",0.0183124868465316
"Method_A","6:4","age_cat_compas","Weighting","final","1yr",0.0108277289853749
"Method_B","6:4","age_cat_compas","Weighting","final","1yr",0.0108277289853749
"Method_C","6:4","age_cat_compas","Weighting","final","1yr",0.0108277289853749
"Method_A","7:3","age_cat_compas","Weighting","final","1yr",0.0142255668745415
"Method_B","7:3","age_cat_compas","Weighting","final","1yr",0.0142255668745415
"Method_C","7:3","age_cat_compas","Weighting","final","1yr",0.0142255668745415
"Method_A","8:2","age_cat_compas","Weighting","final","1yr",0.0152966221257549
"Method_B","8:2","age_cat_compas","Weighting","final","1yr",0.0152966221257549
"Method_C","8:2","age_cat_compas","Weighting","final","1yr",0.0152966221257549
"Method_A","1:2","age_cat_nij","Weighting","final","1yr",0.0183124868465316
"Method_B","1:2","age_cat_nij","Weighting","final","1yr",0.0183124868465316
"Method_C","1:2","age_cat_nij","Weighting","final","1yr",0.0183124868465316
"Method_A","6:4","age_cat_nij","Weighting","final","1yr",0.0108277289853749
"Method_B","6:4","age_cat_nij","Weighting","final","1yr",0.0108277289853749
"Method_C","6:4","age_cat_nij","Weighting","final","1yr",0.0108277289853749
"Method_A","7:3","age_cat_nij","Weighting","final","1yr",0.0142255668745415
"Method_B","7:3","age_cat_nij","Weighting","final","1yr",0.0142255668745415
"Method_C","7:3","age_cat_nij","Weighting","final","1yr",0.0142255668745415
"Method_A","8:2","age_cat_nij","Weighting","final","1yr",0.0152966221257549
"Method_B","8:2","age_cat_nij","Weighting","final","1yr",0.0152966221257549
"Method_C","8:2","age_cat_nij","Weighting","final","1yr",0.0152966221257549
"Method_A","1:2","raw_age_year","Undersampling","protected","1yr",0.0388814706005629
"Method_B","1:2","raw_age_year","Undersampling","protected","1yr",0.0388814706005629
"Method_C","1:2","raw_age_year","Undersampling","protected","1yr",0.0388814706005629
"Method_A","6:4","raw_age_year","Undersampling","protected","1yr",0.0382752643900468
