"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_B","6:4","age_cat_nij","Male Only","final","1yr",0.847315488197912
"Method_C","6:4","age_cat_nij","Male Only","final","1yr",0.847315488197912
"Method_A","7:3","age_cat_nij","Male Only","final","1yr",0.885457723234512
"Method_B","7:3","age_cat_nij","Male Only","final","1yr",0.885457723234512
"Method_C","7:3","age_cat_nij","Male Only","final","1yr",0.885457723234512
"Method_A","8:2","age_cat_nij","Male Only","final","1yr",0.87644051748314
"Method_B","8:2","age_cat_nij","Male Only","final","1yr",0.87644051748314
"Method_C","8:2","age_cat_nij","Male Only","final","1yr",0.87644051748314
"Method_A","1:2","raw_age_year","Female Only","final","1yr",0.319480198418259
"Method_B","1:2","raw_age_year","Female Only","final","1yr",0.319480198418259
"Method_C","1:2","raw_age_year","Female Only","final","1yr",0.319480198418259
"Method_A","6:4","raw_age_year","Female Only","final","1yr",0
"Method_B","6:4","raw_age_year","Female Only","final","1yr",0
"Method_C","6:4","raw_age_year","Female Only","final","1yr",0
"Method_A","7:3","raw_age_year","Female Only","final","1yr",0.585994987691915
"Method_B","7:3","raw_age_year","Female Only","final","1yr",0.585994987691915
"Method_C","7:3","raw_age_year","Female Only","final","1yr",0.585994987691915
"Method_A","8:2","raw_age_year","Female Only","final","1yr",0.329197665919812
"Method_B","8:2","raw_age_year","Female Only","final","1yr",0.329197665919812
"Method_C","8:2","raw_age_year","Female Only","final","1yr",0.329197665919812
"Method_A","1:2","age_cat_compas","Female Only","final","1yr",0.319480198418259
"Method_B","1:2","age_cat_compas","Female Only","final","1yr",0.319480198418259
"Method_C","1:2","age_cat_compas","Female Only","final","1yr",0.319480198418259
"Method_A","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_B","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_C","6:4","age_cat_compas","Female Only","final","1yr",0
"Method_A","7:3","age_cat_compas","Female Only","final","1yr",0.585994987691915
"Method_B","7:3","age_cat_compas","Female Only","final","1yr",0.585994987691915
"Method_C","7:3","age_cat_compas","Female Only","final","1yr",0.585994987691915
"Method_A","8:2","age_cat_compas","Female Only","final","1yr",0.329197665919812
"Method_B","8:2","age_cat_compas","Female Only","final","1yr",0.329197665919812
"Method_C","8:2","age_cat_compas","Female Only","final","1yr",0.329197665919812
"Method_A","1:2","age_cat_nij","Female Only","final","1yr",0.319480198418259
"Method_B","1:2","age_cat_nij","Female Only","final","1yr",0.319480198418259
"Method_C","1:2","age_cat_nij","Female Only","final","1yr",0.319480198418259
"Method_A","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_B","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_C","6:4","age_cat_nij","Female Only","final","1yr",0
"Method_A","7:3","age_cat_nij","Female Only","final","1yr",0.585994987691915
"Method_B","7:3","age_cat_nij","Female Only","final","1yr",0.585994987691915
"Method_C","7:3","age_cat_nij","Female Only","final","1yr",0.585994987691915
"Method_A","8:2","age_cat_nij","Female Only","final","1yr",0.329197665919812
"Method_B","8:2","age_cat_nij","Female Only","final","1yr",0.329197665919812
"Method_C","8:2","age_cat_nij","Female Only","final","1yr",0.329197665919812
"Method_A","1:2","raw_age_year","Weighting","final","1yr",0.858258346590078
"Method_B","1:2","raw_age_year","Weighting","final","1yr",0.858258346590078
"Method_C","1:2","raw_age_year","Weighting","final","1yr",0.858258346590078
"Method_A","6:4","raw_age_year","Weighting","final","1yr",0.854145354217205
"Method_B","6:4","raw_age_year","Weighting","final","1yr",0.854145354217205
"Method_C","6:4","raw_age_year","Weighting","final","1yr",0.854145354217205
"Method_A","7:3","raw_age_year","Weighting","final","1yr",0.890020868616123
"Method_B","7:3","raw_age_year","Weighting","final","1yr",0.890020868616123
"Method_C","7:3","raw_age_year","Weighting","final","1yr",0.890020868616123
"Method_A","8:2","raw_age_year","Weighting","final","1yr",0.879315124095085
"Method_B","8:2","raw_age_year","Weighting","final","1yr",0.879315124095085
"Method_C","8:2","raw_age_year","Weighting","final","1yr",0.879315124095085
"Method_A","1:2","age_cat_compas","Weighting","final","1yr",0.858258346590078
"Method_B","1:2","age_cat_compas","Weighting","final","1yr",0.858258346590078
"Method_C","1:2","age_cat_compas","Weighting","final","1yr",0.858258346590078
"Method_A","6:4","age_cat_compas","Weighting","final","1yr",0.854145354217205
"Method_B","6:4","age_cat_compas","Weighting","final","1yr",0.854145354217205
"Method_C","6:4","age_cat_compas","Weighting","final","1yr",0.854145354217205
"Method_A","7:3","age_cat_compas","Weighting","final","1yr",0.890020868616123
"Method_B","7:3","age_cat_compas","Weighting","final","1yr",0.890020868616123
"Method_C","7:3","age_cat_compas","Weighting","final","1yr",0.890020868616123
"Method_A","8:2","age_cat_compas","Weighting","final","1yr",0.879315124095085
"Method_B","8:2","age_cat_compas","Weighting","final","1yr",0.879315124095085
"Method_C","8:2","age_cat_compas","Weighting","final","1yr",0.879315124095085
"Method_A","1:2","age_cat_nij","Weighting","final","1yr",0.858258346590078
"Method_B","1:2","age_cat_nij","Weighting","final","1yr",0.858258346590078
"Method_C","1:2","age_cat_nij","Weighting","final","1yr",0.858258346590078
"Method_A","6:4","age_cat_nij","Weighting","final","1yr",0.854145354217205
"Method_B","6:4","age_cat_nij","Weighting","final","1yr",0.854145354217205
"Method_C","6:4","age_cat_nij","Weighting","final","1yr",0.854145354217205
"Method_A","7:3","age_cat_nij","Weighting","final","1yr",0.890020868616123
"Method_B","7:3","age_cat_nij","Weighting","final","1yr",0.890020868616123
"Method_C","7:3","age_cat_nij","Weighting","final","1yr",0.890020868616123
"Method_A","8:2","age_cat_nij","Weighting","final","1yr",0.879315124095085
"Method_B","8:2","age_cat_nij","Weighting","final","1yr",0.879315124095085
"Method_C","8:2","age_cat_nij","Weighting","final","1yr",0.879315124095085
"Method_A","1:2","raw_age_year","Undersampling","protected","1yr",0.940644969700657
"Method_B","1:2","raw_age_year","Undersampling","protected","1yr",0.940644969700657
"Method_C","1:2","raw_age_year","Undersampling","protected","1yr",0.940644969700657
"Method_A","6:4","raw_age_year","Undersampling","protected","1yr",0.858735383614452
"Method_B","6:4","raw_age_year","Undersampling","protected","1yr",0.858735383614452
"Method_C","6:4","raw_age_year","Undersampling","protected","1yr",0.858735383614452
"Method_A","7:3","raw_age_year","Undersampling","protected","1yr",0.962203229465536
"Method_B","7:3","raw_age_year","Undersampling","protected","1yr",0.962203229465536
"Method_C","7:3","raw_age_year","Undersampling","protected","1yr",0.962203229465536
"Method_A","8:2","raw_age_year","Undersampling","protected","1yr",0.952750663653916
"Method_B","8:2","raw_age_year","Undersampling","protected","1yr",0.952750663653916
"Method_C","8:2","raw_age_year","Undersampling","protected","1yr",0.952750663653916
"Method_A","1:2","age_cat_compas","Undersampling","protected","1yr",0.940644969700657
"Method_B","1:2","age_cat_compas","Undersampling","protected","1yr",0.940644969700657
"Method_C","1:2","age_cat_compas","Undersampling","protected","1yr",0.940644969700657
